score,legacy_quality_score,score_delta_vs_legacy,reward_landed,reward_best,stop_landed,trade_count,trades_per_month,max_drawdown_r,max_consecutive_losses,path_win_rate,proof,edge,ride,stability,viability,positive_cell_ratio,bars_per_signal,max_signal_run,trigger_indicator_count,indicator_ids,lookbacks,flags,run_id,candidate_name,artifact_dir,profile_path
81.8563,75.7221,6.1342,11.0,12.5,0.04,69.0,1.9198664440734559,1.2193,23.0,0.2899,0.975006,0.969953,0.51085,0.795488,0.956258,0.5424,3170.4058,4.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|tiny_stop_le_0_06|low_cadence_lt_2pm|loss_streak_20_plus,20260430T234454261065Z-agentic-c237af,eval_gbpusd_eurusd_family_20260501T001605426759Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_gbpusd_eurusd_family_20260501T001605426759Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\gbpusd_eurusd_family.json
81.8563,75.7221,6.1342,11.0,12.5,0.04,69.0,1.9198664440734559,1.2193,23.0,0.2899,0.975006,0.969953,0.51085,0.795488,0.956258,0.5424,3170.4058,4.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|tiny_stop_le_0_06|low_cadence_lt_2pm|loss_streak_20_plus,20260430T234454261065Z-agentic-c237af,eval_gbpusd_check2_20260501T002439390641Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_gbpusd_check2_20260501T002439390641Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\gbpusd_check2.json
81.8008,65.0138,16.787,12.0,12.5,0.3,21.0,0.5843071786310517,0.9776,7.0,0.2857,0.785537,0.967796,0.679958,0.9228,0.7678,0.9808,10416.9524,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_cross_pair1_20260501T000402198577Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_cross_pair1_20260501T000402198577Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\cross_pair1.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_cand20_top_20260430T232355262206Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_cand20_top_20260430T232355262206Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_cand20_top.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_cand21_top_20260430T232515788053Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_cand21_top_20260430T232515788053Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_cand21_top.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_cand22_top_20260430T232653009860Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_cand22_top_20260430T232653009860Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_cand22_top.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_final_top_20260430T233303242350Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_final_top_20260430T233303242350Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_final_top.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_late1_top_20260430T233533336384Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_late1_top_20260430T233533336384Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_late1_top.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_cand18_20260430T231404911073Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_cand18_20260430T231404911073Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\cand18.json
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_candidate_20260430T231908226659Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_candidate_20260430T231908226659Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\candidate.json
