anchor_type,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_strategy_role,compatibility_prior_score,compatibility_label,shared_base_indicator
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,STOCHRSI_CROSSBACK,mean-reversion,67.7,medium,False
compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,WICK_REJECTION,mean-reversion,67.1,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,mean-reversion,89.3,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,RSI_CROSSBACK,mean-reversion,89.3,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,STOCHRSI_CROSSBACK,mean-reversion,89.3,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,WICK_REJECTION,mean-reversion,88.7,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CHANNEL_REENTRY,mean-reversion,86.9,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,STOCHRSI_CROSSBACK,mean-reversion,86.9,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,WICK_REJECTION,mean-reversion,86.3,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,RSI_CROSSBACK,mean-reversion,81.7,high,True
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,EHLERS_FISHER_TRANSITION,confirm,77.3,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,KEY_REVERSAL_SIGNAL,confirm,77.3,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,CANDLE_DIRECTION_INDEX,confirm,76.1,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,75.5,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,CANDLESTICK_PATTERNS,,75.5,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,MACD_CROSSOVER,,75.5,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,STOCH_CROSSOVER,,75.5,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,THRUST_BAR_SIGNAL,confirm,75.5,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,TOBY_CRABEL_NARROW_RANGE,confirm,75.5,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,EHLERS_FISHER_TRANSITION,confirm,74.9,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,KEY_REVERSAL_SIGNAL,confirm,74.9,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,73.7,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CANDLE_DIRECTION_INDEX,confirm,73.7,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,MA_CROSSOVER,,73.7,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,PMO_CROSSOVER,confirm,73.7,high,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,PRICE_RECLAIM_MA,confirm,73.7,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,CANDLESTICK_PATTERNS,,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,MACD_CROSSOVER,,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,STOCH_CROSSOVER,,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,THRUST_BAR_SIGNAL,confirm,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,TOBY_CRABEL_NARROW_RANGE,confirm,73.1,high,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,BREAKOUT_FIRST_CLOSE,breakout,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,KST_CROSSOVER,confirm,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,MARKET_MODE_TRANSITION,confirm,71.3,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,MA_CROSSOVER,,71.3,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,PMO_CROSSOVER,confirm,71.3,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,PRICE_RECLAIM_MA,confirm,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,TTF_DSL_TRANSITION,confirm,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,WAVETREND_CROSSOVER,confirm,71.3,medium,False
mean_reversion,RSI_MEAN_REVERSION,setup,mean-reversion,NVO_VOLUME_IMPULSE,confirm,70.7,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,BREAKOUT_FIRST_CLOSE,breakout,68.9,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,KST_CROSSOVER,confirm,68.9,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,MARKET_MODE_TRANSITION,confirm,68.9,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,TTF_DSL_TRANSITION,confirm,68.9,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,WAVETREND_CROSSOVER,confirm,68.9,medium,False
mean_reversion,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,NVO_VOLUME_IMPULSE,confirm,68.3,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,EHLERS_FISHER_TRANSITION,confirm,79.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,KEY_REVERSAL_SIGNAL,confirm,79.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,CANDLE_DIRECTION_INDEX,confirm,78.5,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,THRUST_BAR_SIGNAL,confirm,77.9,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,TOBY_CRABEL_NARROW_RANGE,confirm,77.9,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,PMO_CROSSOVER,confirm,76.1,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,PRICE_RECLAIM_MA,confirm,76.1,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,RSI_CROSSBACK,mean-reversion,76.1,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,CHANNEL_REENTRY,mean-reversion,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,KST_CROSSOVER,confirm,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,MARKET_MODE_TRANSITION,confirm,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,STOCHRSI_CROSSBACK,mean-reversion,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,TTF_DSL_TRANSITION,confirm,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,WAVETREND_CROSSOVER,confirm,73.7,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,NVO_VOLUME_IMPULSE,confirm,73.1,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,WICK_REJECTION,mean-reversion,73.1,high,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,69.9,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,CANDLESTICK_PATTERNS,,69.9,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,MACD_CROSSOVER,,69.9,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,STOCH_CROSSOVER,,69.9,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,68.1,medium,False
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,MA_CROSSOVER,,68.1,medium,False
