side,indicator_id,signal_role,strategy_role,namespace,tested_count,positive_count,strong_count,best_score,avg_positive_score,top_partners,top_partner_strategy_roles,top_timeframes,top_lanes
second,MA_SPREAD_MEAN_REVERSION,context,mean-reversion,Trend,172,13,4,75.5434,64.1935,"MARKET_MODE_TRANSITION,BBANDS_POSITION_TREND,BOLLINGER_KELTNER_SQUEEZE_RELEASE,MFI_TREND,ULTOSC_TREND,CCI_TREND,BREAKOUT_FIRST_CLOSE,SPEARMAN_RANK_CORRELATION","trend,confirm,breakout,filter","M5,M15",wild_diversity
second,WAVETREND_CROSSOVER,trigger,confirm,Signals,170,31,7,75.2125,63.2138,"CHANNEL_REENTRY,STOCHF_MEAN_REVERSION,RSI_MEAN_REVERSION,TOBY_CRABEL_NARROW_RANGE,AROON_MEAN_REVERSION,NVO_VOLUME_IMPULSE,STOCH_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION","mean-reversion,confirm,trend,filter,breakout","M15,M5","plausible_novel,proven_neighbor,under_tested_role_correct,wild_diversity"
second,MARKET_MODE_TRANSITION,trigger,confirm,Signals,166,23,10,75.147,66.1658,"WEIS_WAVE_FORCE_TREND,PLUS_DI_MEAN_REVERSION,CHANNEL_REENTRY,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,STOCH_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,BUFFERED_RANGE_BREAKOUT_SIGNAL,STOCHF_MEAN_REVERSION","mean-reversion,trend,breakout,confirm,unknown","M15,M5","plausible_novel,wild_diversity"
second,WEIS_WAVE_FORCE_TREND,context,trend,Volume,172,26,2,75.147,62.9737,"MARKET_MODE_TRANSITION,PLUS_DI_MEAN_REVERSION,CMO_MEAN_REVERSION,STOCHRSI_MEAN_REVERSION,OBV_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,CCI_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION","mean-reversion,confirm,filter","M15,M5","wild_diversity,proven_neighbor"
second,MFI_MEAN_REVERSION,setup,mean-reversion,Volume,172,29,5,74.7918,61.1702,"NVO_VOLUME_IMPULSE,PMO_CROSSOVER,THRUST_BAR_SIGNAL,STOCHF_TREND,STOCH_TREND,PLUS_DI_TREND,WILLR_TREND,SPEARMAN_RANK_CORRELATION","confirm,trend,unknown,breakout,filter","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
second,NVO_VOLUME_IMPULSE,trigger,confirm,Volume,171,23,3,74.7918,61.9284,"MFI_MEAN_REVERSION,CHANNEL_REENTRY,WAVETREND_CROSSOVER,PLUS_DI_MEAN_REVERSION,CMO_MEAN_REVERSION,OBV_MEAN_REVERSION,STOCHF_MEAN_REVERSION,MOM_MEAN_REVERSION","mean-reversion,confirm","M5,M15","plausible_novel,under_tested_role_correct,wild_diversity"
second,KST_CROSSOVER,trigger,confirm,Signals,172,23,5,74.7726,62.2879,"ULTOSC_MEAN_REVERSION,RSI_MEAN_REVERSION,WILLR_MEAN_REVERSION,MOM_MEAN_REVERSION,CMO_MEAN_REVERSION,KELTNER_CHANNEL_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,WAVETREND_CROSSOVER","mean-reversion,confirm,unknown,trend","M15,M5","plausible_novel,proven_neighbor,under_tested_role_correct,wild_diversity"
second,ULTOSC_MEAN_REVERSION,setup,mean-reversion,Momentum,172,23,3,74.7726,60.8284,"KST_CROSSOVER,TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,ROOFING_FILTER_CONFIRM,TRENDFLEX_CONFIRM,WEIS_WAVE_FORCE_TREND,ROLLING_VOLUME_PROFILE_CONTEXT,PRICE_RECLAIM_MA","confirm,trend,filter,unknown,mean-reversion","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
second,PMO_CROSSOVER,trigger,confirm,Signals,161,19,8,74.6809,65.8076,"MA_SPREAD_MEAN_REVERSION,TRENDFLEX_CONFIRM,MFI_MEAN_REVERSION,WILLR_MEAN_REVERSION,MOM_MEAN_REVERSION,STOCHF_MEAN_REVERSION,CMO_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION","mean-reversion,confirm,filter","M15,M5",proven_neighbor
second,BBANDS_POSITION_MEAN_REVERSION,setup,mean-reversion,Volatility,172,19,3,74.5233,63.4264,"EHLERS_FISHER_TRANSITION,ROOFING_FILTER_CONFIRM,STOCHRSI_CROSSBACK,MFI_TREND,RSI_CROSSBACK,CANDLE_DIRECTION_INDEX,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER","confirm,mean-reversion,trend,filter","M15,M5",proven_neighbor
second,EHLERS_FISHER_TRANSITION,trigger,confirm,Signals,172,10,2,74.5233,63.5209,"BBANDS_POSITION_MEAN_REVERSION,CCI_MEAN_REVERSION,RSI_MEAN_REVERSION,STOCHF_MEAN_REVERSION,MA_CROSSOVER,STOCH_TREND,CANDLE_DIRECTION_INDEX,GARCH_VOLATILITY_REGIME","mean-reversion,unknown,trend,filter,confirm","M15,M5","plausible_novel,proven_neighbor,under_tested_role_correct"
second,PRICE_RECLAIM_MA,trigger,confirm,Signals,172,11,2,74.4479,60.076,"TTF_DSL_TRANSITION,PLUS_DI_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,GARCH_VOLATILITY_REGIME,RSI_CROSSBACK,RSI_TREND,TRENDFLEX_CONFIRM","mean-reversion,confirm,trend,filter,breakout","M15,M5","plausible_novel,wild_diversity,proven_neighbor,under_tested_role_correct"
second,TTF_DSL_TRANSITION,trigger,confirm,Signals,167,8,1,74.4479,61.9115,"PRICE_RECLAIM_MA,MINUS_DI_MEAN_REVERSION,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,WEIS_WAVE_FORCE_TREND,GARCH_VOLATILITY_REGIME,AROON_MEAN_REVERSION,NVO_VOLUME_IMPULSE,CANDLE_DIRECTION_INDEX","mean-reversion,confirm,trend,filter","M15,M5","plausible_novel,wild_diversity"
second,CANDLE_DIRECTION_INDEX,trigger,confirm,Signals,171,20,4,74.3933,62.0723,"CMO_MEAN_REVERSION,AROON_MEAN_REVERSION,RSI_CROSSBACK,CHANNEL_REENTRY,CCI_MEAN_REVERSION,BBANDS_POSITION_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,CHAIKIN_AD_MEAN_REVERSION","mean-reversion,confirm,filter,trend","M5,M15","plausible_novel,proven_neighbor,wild_diversity,under_tested_role_correct"
second,TRENDFLEX_CONFIRM,setup,confirm,Trend,172,18,3,74.303,62.1175,"PMO_CROSSOVER,RSI_CROSSBACK,PLUS_DI_MEAN_REVERSION,MA_SLOPE_MEAN_REVERSION,WILLR_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,AROON_MEAN_REVERSION,MFI_MEAN_REVERSION","mean-reversion,confirm,filter,trend","M15,M5","plausible_novel,proven_neighbor,wild_diversity"
second,PLUS_DI_MEAN_REVERSION,context,mean-reversion,Trend,172,23,2,74.2706,60.1225,"WICK_REJECTION,WEIS_WAVE_FORCE_TREND,NVO_VOLUME_IMPULSE,TRENDFLEX_CONFIRM,ROLLING_VOLUME_PROFILE_CONTEXT,MARKET_MODE_TRANSITION,BOLLINGER_KELTNER_SQUEEZE_FILTER,MINUS_DI_MEAN_REVERSION","confirm,trend,mean-reversion,filter,unknown","M15,M5",wild_diversity
