timing_probe_id,timing_rank,base_probe_id,base_queue_rank,variant_side,variant_indicator_id,variant_lookback_bars,baseline_lookback_bars,anchor_type,anchor_id,trigger_id,probe_timeframe,pair_prior_score,pair_prior_bucket,baseline_status,baseline_composite_score,baseline_signal_count,baseline_best_expectancy_r,baseline_best_trades,baseline_best_profit_factor,profile_id,output_dir,status,primary_score,composite_score,score_delta,score_basis,signal_count,signal_count_delta,best_expectancy_r,expectancy_delta,best_trades,trade_delta,best_win_rate,best_profit_factor,profit_factor_delta,timing_bucket,error
l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2,21,l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15,11,trigger,TTF_DSL_TRANSITION,2,1,compression,TOBY_CRABEL_NARROW_RANGE,TTF_DSL_TRANSITION,M15,86.46,probe_now,ok,0.0,86.0,0.0133,82,1.2435,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",166.0,80.0,-0.0483,-0.0616,157,75.0,0.6939,1.1469,-0.09660000000000002,neutral,
l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3,22,l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15,11,trigger,TTF_DSL_TRANSITION,3,1,compression,TOBY_CRABEL_NARROW_RANGE,TTF_DSL_TRANSITION,M15,86.46,probe_now,ok,0.0,86.0,0.0133,82,1.2435,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",251.0,165.0,-0.0451,-0.0584,238,156.0,0.6989,1.1961,-0.04740000000000011,neutral,
l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1,23,l3-012-ma-slope-trend-toby-crabel-narrow-range-m5,12,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,MA_SLOPE_TREND,TOBY_CRABEL_NARROW_RANGE,M5,86.28,probe_now,ok,0.0,41.0,-0.5236,41,0.5985,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",29.0,-12.0,-0.5125,0.011099999999999999,29,-12.0,0.3917,0.3333,-0.26520000000000005,neutral,
l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3,24,l3-012-ma-slope-trend-toby-crabel-narrow-range-m5,12,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,MA_SLOPE_TREND,TOBY_CRABEL_NARROW_RANGE,M5,86.28,probe_now,ok,0.0,41.0,-0.5236,41,0.5985,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",50.0,9.0,-0.5119,0.011699999999999933,50,9.0,0.3216,0.6233,0.024799999999999933,neutral,
l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1,25,l3-013-kalman-velocity-confirm-market-mode-transition-m15,13,trigger,MARKET_MODE_TRANSITION,1,2,trend,KALMAN_VELOCITY_CONFIRM,MARKET_MODE_TRANSITION,M15,86.2,probe_now,ok,0.0,225.0,-0.0419,218,0.8904,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",103.0,-122.0,-0.0149,0.027,100,-118.0,0.7143,0.9901,0.09970000000000001,neutral,
l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3,26,l3-013-kalman-velocity-confirm-market-mode-transition-m15,13,trigger,MARKET_MODE_TRANSITION,3,2,trend,KALMAN_VELOCITY_CONFIRM,MARKET_MODE_TRANSITION,M15,86.2,probe_now,ok,0.0,225.0,-0.0419,218,0.8904,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",366.0,141.0,-0.0353,0.006600000000000002,353,135.0,0.7098,0.9422,0.05180000000000007,neutral,
l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1,27,l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5,14,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,TOBY_CRABEL_NARROW_RANGE,M5,86.09,probe_now,ok,0.0,3090.0,-0.0607,2898,0.9061,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1952.0,-1138.0,-0.062,-0.0013000000000000025,1826,-1072.0,0.5,0.9044,-0.0017000000000000348,neutral,
l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3,28,l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5,14,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,TOBY_CRABEL_NARROW_RANGE,M5,86.09,probe_now,ok,0.0,3090.0,-0.0607,2898,0.9061,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",4200.0,1110.0,-0.0624,-0.0017000000000000001,3951,1053.0,0.5,0.9035,-0.0026000000000000467,neutral,
l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2,29,l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15,15,trigger,TTF_DSL_TRANSITION,2,1,trend,KALMAN_VELOCITY_CONFIRM,TTF_DSL_TRANSITION,M15,85.76,probe_now,ok,0.0,166.0,-0.0315,162,0.9335,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",357.0,191.0,-0.05,-0.018500000000000003,348,186.0,0.7091,0.8532,-0.08030000000000004,neutral,
l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3,30,l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15,15,trigger,TTF_DSL_TRANSITION,3,1,trend,KALMAN_VELOCITY_CONFIRM,TTF_DSL_TRANSITION,M15,85.76,probe_now,ok,0.0,166.0,-0.0315,162,0.9335,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",567.0,401.0,-0.0742,-0.0427,550,388.0,0.6929,0.7837,-0.14980000000000004,neutral,
l3b-031-l3-016-rsi-mean-reversion-channel-reentry-m15-tr-lb2,31,l3-016-rsi-mean-reversion-channel-reentry-m15,16,trigger,CHANNEL_REENTRY,2,1,mean_reversion,RSI_MEAN_REVERSION,CHANNEL_REENTRY,M15,85.34,probe_now,ok,41.462,220.0,0.0887,214,1.1254,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-031-l3-016-rsi-mean-reversion-channel-reentry-m15-tr-lb2,skipped_existing,46.6073,46.6073,5.145299999999999,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",465.0,245.0,0.1119,0.0232,455,241.0,0.3049,1.1589,0.033500000000000085,improved,
l3b-032-l3-016-rsi-mean-reversion-channel-reentry-m15-tr-lb3,32,l3-016-rsi-mean-reversion-channel-reentry-m15,16,trigger,CHANNEL_REENTRY,3,1,mean_reversion,RSI_MEAN_REVERSION,CHANNEL_REENTRY,M15,85.34,probe_now,ok,41.462,220.0,0.0887,214,1.1254,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-032-l3-016-rsi-mean-reversion-channel-reentry-m15-tr-lb3,skipped_existing,46.9137,46.9137,5.451699999999995,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",659.0,439.0,0.1107,0.022000000000000006,649,435.0,0.3412,1.1553,0.029900000000000038,improved,
l3b-033-l3-017-toby-crabel-narrow-range-pmo-crossover-m15-tr-lb1,33,l3-017-toby-crabel-narrow-range-pmo-crossover-m15,17,trigger,PMO_CROSSOVER,1,2,compression,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER,M15,84.97,probe_now,ok,0.0,156.0,-0.1115,155,0.8598,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-033-l3-017-toby-crabel-narrow-range-pmo-crossover-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",90.0,-66.0,-0.0214,0.0901,89,-66.0,0.6671,1.0053,0.14550000000000007,neutral,
l3b-034-l3-017-toby-crabel-narrow-range-pmo-crossover-m15-tr-lb3,34,l3-017-toby-crabel-narrow-range-pmo-crossover-m15,17,trigger,PMO_CROSSOVER,3,2,compression,TOBY_CRABEL_NARROW_RANGE,PMO_CROSSOVER,M15,84.97,probe_now,ok,0.0,156.0,-0.1115,155,0.8598,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-034-l3-017-toby-crabel-narrow-range-pmo-crossover-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",222.0,66.0,-0.1272,-0.015700000000000006,219,64.0,0.4844,0.7039,-0.15590000000000004,neutral,
l3b-035-l3-018-adx-market-mode-transition-m15-tr-lb1,35,l3-018-adx-market-mode-transition-m15,18,trigger,MARKET_MODE_TRANSITION,1,2,trend,ADX,MARKET_MODE_TRANSITION,M15,84.92,probe_now,ok,0.0,866.0,-0.0218,838,0.9531,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-035-l3-018-adx-market-mode-transition-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",559.0,-307.0,-0.0234,-0.0016000000000000007,544,-294.0,0.7165,0.9345,-0.01859999999999995,neutral,
l3b-036-l3-018-adx-market-mode-transition-m15-tr-lb3,36,l3-018-adx-market-mode-transition-m15,18,trigger,MARKET_MODE_TRANSITION,3,2,trend,ADX,MARKET_MODE_TRANSITION,M15,84.92,probe_now,ok,0.0,866.0,-0.0218,838,0.9531,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-036-l3-018-adx-market-mode-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1174.0,308.0,-0.0169,0.004900000000000002,1133,295.0,0.722,0.9663,0.0132000000000001,neutral,
l3b-037-l3-019-ma-slope-trend-market-mode-transition-m15-tr-lb1,37,l3-019-ma-slope-trend-market-mode-transition-m15,19,trigger,MARKET_MODE_TRANSITION,1,2,trend,MA_SLOPE_TREND,MARKET_MODE_TRANSITION,M15,84.66,probe_now,ok,0.0,126.0,0.0257,122,1.9504,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-037-l3-019-ma-slope-trend-market-mode-transition-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",91.0,-35.0,-0.0332,-0.0589,88,-34.0,0.7012,1.3674,-0.583,neutral,
l3b-038-l3-019-ma-slope-trend-market-mode-transition-m15-tr-lb3,38,l3-019-ma-slope-trend-market-mode-transition-m15,19,trigger,MARKET_MODE_TRANSITION,3,2,trend,MA_SLOPE_TREND,MARKET_MODE_TRANSITION,M15,84.66,probe_now,ok,0.0,126.0,0.0257,122,1.9504,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-038-l3-019-ma-slope-trend-market-mode-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",155.0,29.0,-0.0266,-0.0523,150,28.0,0.7283,1.159,-0.7913999999999999,neutral,
l3b-039-l3-020-bbands-position-mean-reversion-channel-reentry-m15-tr-lb2,39,l3-020-bbands-position-mean-reversion-channel-reentry-m15,20,trigger,CHANNEL_REENTRY,2,1,mean_reversion,BBANDS_POSITION_MEAN_REVERSION,CHANNEL_REENTRY,M15,84.57,probe_now,ok,0.0,416.0,0.0408,403,1.0773,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-039-l3-020-bbands-position-mean-reversion-channel-reentry-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",735.0,319.0,-0.024,-0.0648,708,305.0,0.3034,0.9862,-0.09109999999999996,neutral,
l3b-040-l3-020-bbands-position-mean-reversion-channel-reentry-m15-tr-lb3,40,l3-020-bbands-position-mean-reversion-channel-reentry-m15,20,trigger,CHANNEL_REENTRY,3,1,mean_reversion,BBANDS_POSITION_MEAN_REVERSION,CHANNEL_REENTRY,M15,84.57,probe_now,ok,0.0,416.0,0.0408,403,1.0773,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-040-l3-020-bbands-position-mean-reversion-channel-reentry-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",959.0,543.0,0.0112,-0.0296,927,524.0,0.3651,1.0302,-0.04709999999999992,neutral,
l3b-041-l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15-tr-lb1,41,l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15,21,trigger,WAVETREND_CROSSOVER,1,2,compression,TOBY_CRABEL_NARROW_RANGE,WAVETREND_CROSSOVER,M15,84.53,probe_now,ok,0.0,55.0,-0.1404,55,0.6986,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-041-l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",28.0,-27.0,0.0681,0.2085,28,-27.0,0.7944,1.1369,0.4383,neutral,
l3b-042-l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15-tr-lb3,42,l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15,21,trigger,WAVETREND_CROSSOVER,3,2,compression,TOBY_CRABEL_NARROW_RANGE,WAVETREND_CROSSOVER,M15,84.53,probe_now,ok,0.0,55.0,-0.1404,55,0.6986,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-042-l3-021-toby-crabel-narrow-range-wavetrend-crossover-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",75.0,20.0,-0.0892,0.051199999999999996,75,20.0,0.3471,0.9295,0.2309,neutral,
l3b-043-l3-022-adx-ttf-dsl-transition-m15-tr-lb2,43,l3-022-adx-ttf-dsl-transition-m15,22,trigger,TTF_DSL_TRANSITION,2,1,trend,ADX,TTF_DSL_TRANSITION,M15,84.48,probe_now,ok,0.0,745.0,-0.0379,710,0.951,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-043-l3-022-adx-ttf-dsl-transition-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1158.0,413.0,-0.0748,-0.0369,1102,392.0,0.6849,0.9022,-0.048799999999999955,neutral,
l3b-044-l3-022-adx-ttf-dsl-transition-m15-tr-lb3,44,l3-022-adx-ttf-dsl-transition-m15,22,trigger,TTF_DSL_TRANSITION,3,1,trend,ADX,TTF_DSL_TRANSITION,M15,84.48,probe_now,ok,0.0,745.0,-0.0379,710,0.951,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-044-l3-022-adx-ttf-dsl-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1562.0,817.0,-0.0655,-0.0276,1489,779.0,0.4071,0.9138,-0.03720000000000001,neutral,
l3b-045-l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15-tr-lb1,45,l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15,23,trigger,MARKET_MODE_TRANSITION,1,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,MARKET_MODE_TRANSITION,M15,84.47,probe_now,ok,0.0,429.0,-0.1528,415,0.6793,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-045-l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",221.0,-208.0,-0.1389,0.013899999999999996,214,-201.0,0.6408,0.7203,0.041000000000000036,neutral,
l3b-046-l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15-tr-lb3,46,l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15,23,trigger,MARKET_MODE_TRANSITION,3,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,MARKET_MODE_TRANSITION,M15,84.47,probe_now,ok,0.0,429.0,-0.1528,415,0.6793,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-046-l3-023-bollinger-keltner-squeeze-filter-market-mode-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",628.0,199.0,-0.1623,-0.009500000000000008,607,192.0,0.6252,0.6536,-0.025700000000000056,neutral,
l3b-047-l3-024-kalman-velocity-confirm-pmo-crossover-m15-tr-lb1,47,l3-024-kalman-velocity-confirm-pmo-crossover-m15,24,trigger,PMO_CROSSOVER,1,2,trend,KALMAN_VELOCITY_CONFIRM,PMO_CROSSOVER,M15,84.27,probe_now,ok,67.0715,48.0,0.6257,44,2.4589,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-047-l3-024-kalman-velocity-confirm-pmo-crossover-m15-tr-lb1,skipped_existing,0.0,0.0,-67.0715,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",22.0,-26.0,0.6998,0.07409999999999994,20,-24.0,0.3854,3.9524,1.4935,lost_positive,
l3b-048-l3-024-kalman-velocity-confirm-pmo-crossover-m15-tr-lb3,48,l3-024-kalman-velocity-confirm-pmo-crossover-m15,24,trigger,PMO_CROSSOVER,3,2,trend,KALMAN_VELOCITY_CONFIRM,PMO_CROSSOVER,M15,84.27,probe_now,ok,67.0715,48.0,0.6257,44,2.4589,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-048-l3-024-kalman-velocity-confirm-pmo-crossover-m15-tr-lb3,skipped_existing,56.4656,56.4656,-10.605899999999998,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",80.0,32.0,0.3061,-0.31960000000000005,74,30.0,0.4145,1.555,-0.9038999999999999,degraded,
l3b-049-l3-025-toby-crabel-narrow-range-key-reversal-signal-m15-tr-lb2,49,l3-025-toby-crabel-narrow-range-key-reversal-signal-m15,25,trigger,KEY_REVERSAL_SIGNAL,2,1,compression,TOBY_CRABEL_NARROW_RANGE,KEY_REVERSAL_SIGNAL,M15,84.19,probe_now,ok,0.0,131.0,-0.1345,124,0.8669,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-049-l3-025-toby-crabel-narrow-range-key-reversal-signal-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",228.0,97.0,-0.1965,-0.062,213,89.0,0.6026,0.807,-0.05989999999999995,neutral,
l3b-050-l3-025-toby-crabel-narrow-range-key-reversal-signal-m15-tr-lb3,50,l3-025-toby-crabel-narrow-range-key-reversal-signal-m15,25,trigger,KEY_REVERSAL_SIGNAL,3,1,compression,TOBY_CRABEL_NARROW_RANGE,KEY_REVERSAL_SIGNAL,M15,84.19,probe_now,ok,0.0,131.0,-0.1345,124,0.8669,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-050-l3-025-toby-crabel-narrow-range-key-reversal-signal-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",314.0,183.0,-0.1751,-0.0406,289,165.0,0.6143,0.8412,-0.025700000000000056,neutral,
l3b-051-l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15-tr-lb2,51,l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15,26,trigger,TTF_DSL_TRANSITION,2,1,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,TTF_DSL_TRANSITION,M15,84.03,probe_now,ok,0.0,269.0,0.0187,256,1.0714,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-051-l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",544.0,275.0,-0.0106,-0.0293,520,264.0,0.4358,1.0161,-0.055299999999999905,neutral,
l3b-052-l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15-tr-lb3,52,l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15,26,trigger,TTF_DSL_TRANSITION,3,1,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,TTF_DSL_TRANSITION,M15,84.03,probe_now,ok,0.0,269.0,0.0187,256,1.0714,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-052-l3-026-bollinger-keltner-squeeze-filter-ttf-dsl-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",821.0,552.0,-0.0093,-0.028,785,529.0,0.5279,1.0156,-0.05579999999999985,neutral,
l3b-053-l3-027-toby-crabel-narrow-range-candle-direction-index-m5-tr-lb2,53,l3-027-toby-crabel-narrow-range-candle-direction-index-m5,27,trigger,CANDLE_DIRECTION_INDEX,2,1,compression,TOBY_CRABEL_NARROW_RANGE,CANDLE_DIRECTION_INDEX,M5,83.54,probe_now,ok,0.0,4.0,2.381,3,,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-053-l3-027-toby-crabel-narrow-range-candle-direction-index-m5-tr-lb2,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",4.0,0.0,2.381,0.0,3,0.0,1.0,,,neutral,
