afterCostPositiveCount,allWindowsAfterCostPositiveCount,candidateEvaluationCount,frequencyBand,grossPositiveCount,holdingBand,meanConservativeNetR,meanGrossR,meanModeledCostR,meanWindowResamplePositiveRate,medianConservativeNetR,medianGrossR,medianModeledCostR,protocolGroup,supportQualified,totalTrades,windowObservationCount
0,0,4,high_turnover_96_plus,1,brief_1_24_bars,-4.518181939440675,0.43181806055932503,4.95,0.1591796875,-4.4063635621328325,-0.04594619160152269,5.3375,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,532,16
2,0,239,high_turnover_96_plus,122,brief_1_24_bars,-20.004034815210076,-0.2839307067581522,19.720104108451924,0.026085251046025104,-12.344190377767308,0.08288874774600963,12.3,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,89966,956
0,0,1,high_turnover_96_plus,0,medium_97_480_bars,-5.524294731667612,-0.4242947316676103,5.100000000000001,0.203125,-5.524294731667612,-0.4242947316676103,5.100000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,100,4
5,0,159,high_turnover_96_plus,47,medium_97_480_bars,-12.467289126487703,-2.7184421663199863,9.748846960167716,0.06102594339622641,-12.76129574795553,-3.775173704427087,6.45,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,30425,636
0,0,8,high_turnover_96_plus,3,short_25_96_bars,-6.99822955496611,-0.9128128882994424,6.085416666666667,0.11083984375,-6.0938536931995255,-1.327187026532859,5.725,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,961,32
16,0,608,high_turnover_96_plus,352,short_25_96_bars,-10.337187797304919,-0.2711790253750934,10.066008771929825,0.08778782894736842,-7.8500000000000005,4.440892098500626e-16,7.850000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,121379,2432
3,0,12,moderate_20_95,6,brief_1_24_bars,-3.921141688881146,-0.7364194666589231,3.1847222222222222,0.3440755208333333,-2.5296790985147006,0.6740747644193121,3.5250000000000004,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,783,48
4,0,93,moderate_20_95,32,brief_1_24_bars,-3.239002054869678,-0.697604205407312,2.5413978494623657,0.07245463709677419,-2.9903974308734917,-0.6816184270343912,2.4500000000000006,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,4757,372
56,0,155,moderate_20_95,69,long_481_plus_bars,-3.6015019486611077,-2.0941901207041176,1.5073118279569901,0.3488407258064516,-3.278376285008595,-1.7952879961467243,1.4,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,4079,620
104,1,185,moderate_20_95,109,long_481_plus_bars,0.05527436671472811,1.6407698622102243,1.585495495495496,0.5040962837837838,2.025327029813626,4.096928531245608,1.5500000000000007,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,5187,740
8,2,12,moderate_20_95,8,medium_97_480_bars,0.2835135804060717,2.5085135804060723,2.2250000000000005,0.57421875,2.6962819820250745,4.128317765070177,1.9750000000000005,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,508,48
22,2,107,moderate_20_95,48,medium_97_480_bars,-3.112782084445748,-0.15296900033359798,2.95981308411215,0.2656615070093458,-3.547920001142076,-0.32173455583947064,2.7500000000000004,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,6197,428
2,0,17,moderate_20_95,8,short_25_96_bars,-4.039974973039538,-1.6193867377454196,2.420588235294118,0.17049632352941177,-3.4946509461919653,0.0,2.0500000000000007,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,802,68
24,0,439,moderate_20_95,90,short_25_96_bars,-4.125429995496634,-1.4571308307282205,2.6682991647684133,0.08550149487471526,-4.1499999999999995,-1.9999999999999996,2.2,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,22950,1756
0,0,1,sparse_8_19,0,brief_1_24_bars,-0.7303946026878139,-0.18039460268781385,0.55,0.0,-0.7303946026878139,-0.18039460268781385,0.55,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,11,4
115,3,312,sparse_8_19,132,long_481_plus_bars,-1.6060469763705836,-0.5954166344902411,1.0106303418803426,0.4094551282051282,-2.4826392305822904,-1.4445448299656356,1.0500000000000012,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,5216,1248
9,0,9,sparse_8_19,9,long_481_plus_bars,9.402331997575336,10.452331997575335,1.0500000000000003,0.9322916666666666,10.356677369597422,11.406677369597423,1.0500000000000007,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,163,36
1,0,3,sparse_8_19,1,medium_97_480_bars,-2.3833333333333324,-1.6666666666666654,0.7166666666666669,0.22916666666666666,-3.8499999999999983,-2.9999999999999982,0.8500000000000003,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,43,12
3,0,14,sparse_8_19,5,short_25_96_bars,-0.6839091032622899,0.023233753880567382,0.7071428571428573,0.2603236607142857,-0.6623637228360186,0.0,0.7250000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,197,56
6,0,77,very_sparse_1_7,9,brief_1_24_bars,-0.17469417199833737,-0.07014871745288284,0.10454545454545452,0.09552556818181818,-0.1,0.0,0.1,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,161,308
112,0,138,very_sparse_1_7,112,long_481_plus_bars,1.5542158990934483,1.6755927106876514,0.12137681159420298,0.6431442481884058,1.9499999999999973,1.9999999999999973,0.10000000000000009,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,315,552
55,0,180,very_sparse_1_7,61,medium_97_480_bars,-0.2124734358819116,-0.11330676921524488,0.09916666666666668,0.2271701388888889,-0.1,0.0,0.1,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,345,720
47,0,126,very_sparse_1_7,53,short_25_96_bars,-0.28811961410637477,-0.16788151886827948,0.12023809523809526,0.2885044642857143,-0.09236031796793125,0.0,0.09999999999999998,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,301,504
4,0,2221,zero_no_trade,4,unavailable_or_no_trade,-0.0020276928103350514,-0.0016900070831851188,0.00033768572714993266,0.0012416985592075642,0.0,0.0,0.0,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,0,8884
0,0,2,high_turnover_96_plus,1,brief_1_24_bars,-2.6550003167485183,1.182499683251481,3.8374999999999995,0.283203125,-2.6550003167485183,1.182499683251481,3.8374999999999995,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,200,8
1,0,111,high_turnover_96_plus,91,brief_1_24_bars,-16.44098659765237,0.8010554443896732,17.242042042042044,0.03033502252252252,-10.534309394986131,0.7656906050138683,11.3,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,36702,444
0,0,41,high_turnover_96_plus,7,medium_97_480_bars,-12.454374140923427,-4.892585523037247,7.561788617886181,0.05659298780487805,-11.424831111419879,-5.709833426587561,6.050000000000002,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,6083,164
0,0,2,high_turnover_96_plus,0,short_25_96_bars,-8.126051324001672,-2.8843846573350067,5.241666666666667,0.064453125,-8.126051324001672,-2.8843846573350067,5.241666666666667,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,246,8
0,0,85,high_turnover_96_plus,71,short_25_96_bars,-8.50545981181007,-0.2950676549473243,8.210392156862746,0.12306985294117648,-7.8500000000000005,4.440892098500626e-16,7.850000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,13884,340
1,0,3,moderate_20_95,2,brief_1_24_bars,-2.041797915511734,-0.34179791551173383,1.7,0.22395833333333334,-1.3592052593330708,0.19079474066692936,1.55,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,100,12
0,0,11,moderate_20_95,3,brief_1_24_bars,-4.22380295207197,-1.3374393157083324,2.8863636363636367,0.0031960227272727275,-4.450000000000011,-2.000000000000008,2.7,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,635,44
1,0,6,moderate_20_95,1,long_481_plus_bars,-6.45826267002706,-4.624929336693726,1.8333333333333341,0.2858072916666667,-7.597614226277024,-5.797614226277022,1.8250000000000006,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,200,24
2,0,2,moderate_20_95,2,long_481_plus_bars,1.7630997024782413,4.1130997024782445,2.3500000000000023,0.546875,1.7630997024782413,4.1130997024782445,2.3500000000000023,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,86,8
2,1,9,moderate_20_95,4,medium_97_480_bars,-1.5741489129924449,0.854554790711259,2.4287037037037043,0.3441840277777778,-3.100000000000012,-0.02384110773927839,2.1500000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,485,36
8,0,47,moderate_20_95,10,medium_97_480_bars,-5.468922460068172,-1.3784969281532768,4.090425531914895,0.17677859042553193,-8.180832146177842,-3.5808321461778405,4.600000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,3744,188
1,0,2,moderate_20_95,1,short_25_96_bars,-1.1250000000000024,1.9999999999999976,3.1250000000000004,0.38671875,-1.1250000000000024,1.9999999999999976,3.1250000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,125,8
1,0,91,moderate_20_95,5,short_25_96_bars,-4.121103251907617,-1.8328248636292293,2.2882783882783886,0.02880322802197802,-4.1499999999999995,-1.9999999999999996,2.1500000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,4110,364
0,0,1,sparse_8_19,0,brief_1_24_bars,-1.1819186025276316,-0.4319186025276316,0.7500000000000002,0.04296875,-1.1819186025276316,-0.4319186025276316,0.7500000000000002,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,15,4
1,0,2,sparse_8_19,1,long_481_plus_bars,-3.444505504401361,-2.5195055044013612,0.9250000000000006,0.3359375,-3.444505504401361,-2.5195055044013612,0.9250000000000006,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,34,8
2,0,3,sparse_8_19,2,medium_97_480_bars,3.3085404900112754,4.141873823344608,0.833333333333334,0.7135416666666666,5.316341175401966,5.916341175401966,0.9000000000000002,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,48,12
1,0,4,very_sparse_1_7,2,brief_1_24_bars,-0.2271342240662342,-0.07713422406623417,0.15000000000000002,0.208984375,-0.08747592008591848,-0.03747592008591848,0.12500000000000006,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,12,16
5,0,5,very_sparse_1_7,5,long_481_plus_bars,3.443201024327788,3.703201024327788,0.26000000000000023,0.85546875,4.079001280409732,4.379001280409732,0.30000000000000027,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,22,20
1,0,2,very_sparse_1_7,1,medium_97_480_bars,0.9645006402048678,1.1895006402048678,0.22500000000000006,0.341796875,0.9645006402048678,1.1895006402048678,0.22500000000000006,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,8,8
1,0,2,very_sparse_1_7,1,short_25_96_bars,1.174999999999998,1.499999999999998,0.3250000000000002,0.412109375,1.174999999999998,1.499999999999998,0.3250000000000002,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,13,8
0,0,113,zero_no_trade,0,unavailable_or_no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,0,452
