adaptiveHoldingBand,adaptiveTradeBand,afterCostPositiveCount,allWindowsAfterCostPositiveCount,candidateEvaluationCount,grossPositiveCount,meanConservativeNetR,meanGrossR,meanModeledCostR,meanWindowResamplePositiveRate,medianConservativeNetR,medianGrossR,medianModeledCostR,protocolGroup,supportQualified,totalTrades,windowObservationCount
holding_q1,trades_q1,9,0,93,13,-0.21677875296445293,-0.09419810780316264,0.12258064516129033,0.11294522849462366,-0.1,0.0,0.1,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,228,372
holding_q2,trades_q1,23,0,82,28,-0.4247508390838172,-0.24914108298625615,0.17560975609756102,0.2362328506097561,-0.4296673958990009,-0.00909715835354874,0.07500000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,287,328
holding_q3,trades_q1,75,0,220,83,-0.24912073221106665,-0.12662073221106662,0.12250000000000001,0.25230823863636365,-0.1,0.0,0.1,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,531,880
holding_q4,trades_q1,232,3,456,249,-0.6189981836932095,0.11119187478632317,0.7301900584795326,0.48256750274122806,0.33533108593699534,0.9853310859369959,0.9500000000000003,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,5543,1824
holding_q4,trades_q1,9,0,9,9,9.402331997575336,10.452331997575335,1.0500000000000003,0.9322916666666666,10.356677369597422,11.406677369597423,1.0500000000000007,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,163,36
holding_q1,trades_q2,1,0,4,2,-0.8557363794918794,0.6817636205081209,1.5375,0.2431640625,-2.0250000000000012,-0.4456804002300629,1.4000000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,119,16
holding_q1,trades_q2,3,0,51,9,-3.133091193540559,-1.0987774680503626,2.0343137254901964,0.06885723039215687,-3.148320109148816,-1.1888616664981777,2.05,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,2047,204
holding_q2,trades_q2,0,0,4,1,-2.697325473095988,-1.2973254730959876,1.4000000000000004,0.134765625,-3.044650946191968,-1.844650946191968,1.2000000000000002,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,110,16
holding_q2,trades_q2,7,0,200,22,-3.686366745398579,-1.595700078731912,2.090666666666667,0.05396484375,-4.1499999999999995,-1.9999999999999996,2.1500000000000004,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,8371,800
holding_q3,trades_q2,4,1,11,6,-0.8680805331182367,0.5910103759726727,1.4590909090909094,0.39879261363636365,-1.0000000000000002,8.881784197001252e-16,1.35,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,312,44
holding_q3,trades_q2,14,2,82,34,-2.369994846190103,-0.4334094803364443,1.9365853658536587,0.2288014481707317,-2.710867277919733,-0.5648987087901137,2.0,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,3124,328
holding_q4,trades_q2,57,0,156,70,-3.533985672020626,-2.0228745609095142,1.511111111111112,0.35131209935897434,-3.188830736282742,-1.7285710256189546,1.4000000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,4119,624
holding_q4,trades_q2,105,1,184,110,0.2504162299679539,1.8217024618520126,1.5712862318840586,0.5102114470108695,2.07393933827563,4.225327029813628,1.5500000000000007,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,5106,736
holding_q1,trades_q3,4,0,17,9,-4.916395708958672,-0.3904153168018091,4.525980392156862,0.3039981617647059,-3.0487390446950084,0.3156851233385304,4.4,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,1559,68
holding_q1,trades_q3,7,0,256,176,-6.393720702727092,-0.20029622356042417,6.1934244791666675,0.0992889404296875,-7.8500000000000005,4.440892098500626e-16,7.525,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,31530,1024
holding_q2,trades_q3,0,0,6,1,-9.338709136692007,-4.791486914469783,4.5472222222222225,0.09830729166666667,-8.178237714022432,-3.033558413357535,4.625000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,572,24
holding_q2,trades_q3,7,0,242,95,-6.138635196377702,-1.1542688051931291,4.984366391184574,0.09310433884297521,-5.949999999999985,-1.389432382773058,4.950000000000002,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,23464,968
holding_q3,trades_q3,3,1,9,5,-2.837422998614255,0.8181325569413009,3.6555555555555563,0.3407118055555556,-3.7408968170641916,0.05910318293580896,3.550000000000002,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,634,36
holding_q3,trades_q3,23,0,276,102,-6.537716512216572,-1.4192382513470059,5.1184782608695665,0.1354591259057971,-5.862130319975517,-1.5736143327721694,5.55,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,27839,1104
holding_q4,trades_q3,0,0,3,0,-12.320903805528715,-9.437570472195379,2.883333333333336,0.08723958333333333,-13.48200004124826,-10.882000041248254,2.8000000000000025,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,163,12
holding_q1,trades_q4,0,0,1,0,-4.555630794401019,-0.030630794401019124,4.525,0.11328125,-4.555630794401019,-0.030630794401019124,4.525,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,180,4
holding_q1,trades_q4,1,0,287,141,-20.407715381137322,-0.49527096097468604,19.912444420162636,0.020266223867595818,-13.456000272725374,-0.03357638984610012,12.650000000000002,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,109867,1148
holding_q2,trades_q4,4,0,130,61,-14.232021694922977,-0.30458579748707965,13.927435897435899,0.05237379807692308,-12.325957646452402,-0.43012305398903256,12.05,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,36044,520
holding_q3,trades_q4,0,0,1,1,-5.380455050755379,2.7195449492446215,8.100000000000001,0.07421875,-5.380455050755379,2.7195449492446215,8.100000000000001,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,160,4
holding_q3,trades_q4,6,0,119,50,-14.850340714852512,-0.6256908549085328,14.22464985994398,0.08488707983193278,-13.272693529279785,-1.2127689239130635,11.15,temporal_qd_v5_fast_ephemeral_current_panel_v37,True,33306,476
holding_zero,trades_zero,4,0,2221,4,-0.0020276928103350514,-0.0016900070831851188,0.00033768572714993266,0.0012416985592075642,0.0,0.0,0.0,temporal_qd_v5_fast_ephemeral_current_panel_v37,False,0,8884
holding_q1,trades_q1,1,0,5,2,-0.4180910997585137,-0.14809109975851367,0.2700000000000001,0.17578125,-0.13200234824906276,-0.08200234824906275,0.2000000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,27,20
holding_q2,trades_q1,0,0,1,0,-0.3,0.0,0.3,0.0,-0.3,0.0,0.3,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,6,4
holding_q3,trades_q1,2,0,4,2,1.716585293850488,2.229085293850488,0.5125000000000003,0.54296875,1.2249999999999979,1.499999999999998,0.4750000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,41,16
holding_q4,trades_q1,8,0,9,8,1.9961417430975361,2.4850306319864246,0.4888888888888893,0.7139756944444444,4.079001280409732,4.379001280409732,0.30000000000000027,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,78,36
holding_q1,trades_q2,1,0,3,2,-2.041797915511734,-0.34179791551173383,1.7,0.22395833333333334,-1.3592052593330708,0.19079474066692936,1.55,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,100,12
holding_q1,trades_q2,0,0,1,0,-4.3500000000000085,-2.000000000000008,2.3500000000000005,0.01953125,-4.3500000000000085,-2.000000000000008,2.3500000000000005,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,47,4
holding_q2,trades_q2,0,0,1,0,-3.8,-1.9999999999999996,1.8,0.0078125,-3.8,-1.9999999999999996,1.8,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,36,4
holding_q2,trades_q2,0,0,74,1,-4.115812869533906,-1.9754975542185917,2.1403153153153154,0.01272170608108108,-4.1499999999999995,-1.9999999999999996,2.1500000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,3165,296
holding_q3,trades_q2,1,0,4,2,-2.055489548405606,-0.4804895484056058,1.5750000000000006,0.2646484375,-2.1385591831464343,-0.6385591831464338,1.5250000000000004,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,124,16
holding_q3,trades_q2,0,0,4,0,-4.227536731004186,-2.4400367310041857,1.7875,0.015625,-4.322084590784209,-2.3800734620083572,1.875,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,142,16
holding_q4,trades_q2,1,0,6,1,-6.45826267002706,-4.624929336693726,1.8333333333333341,0.2858072916666667,-7.597614226277024,-5.797614226277022,1.8250000000000006,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,200,24
holding_q4,trades_q2,2,0,2,2,1.7630997024782413,4.1130997024782445,2.3500000000000023,0.546875,1.7630997024782413,4.1130997024782445,2.3500000000000023,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,86,8
holding_q1,trades_q3,1,0,4,2,-3.617815555574773,1.0759344444252266,4.69375,0.3447265625,-2.6550003167485183,1.182499683251481,4.825,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,421,16
holding_q1,trades_q3,1,0,80,70,-6.975530368967419,0.06946963103258157,7.045000000000002,0.121923828125,-7.8500000000000005,4.440892098500626e-16,7.850000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,11266,320
holding_q2,trades_q3,0,0,1,0,-5.540841059201297,-1.707507725867964,3.833333333333333,0.08203125,-5.540841059201297,-1.707507725867964,3.833333333333333,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,114,4
holding_q2,trades_q3,0,0,12,5,-4.706842170832895,-0.2276755041662281,4.479166666666667,0.14127604166666666,-4.1754603851889005,-0.12594237953871254,3.375,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,1027,48
holding_q3,trades_q3,0,0,4,1,-3.4808010440010415,-0.3662177106677085,3.114583333333333,0.259765625,-3.8988411077392917,-0.023841107739291933,3.1916666666666664,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,303,16
holding_q3,trades_q3,7,0,88,15,-8.36957396236778,-3.387376992670808,4.982196969696971,0.11416903409090909,-8.180832146177842,-3.5808321461778405,4.700000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,8565,352
holding_q4,trades_q3,1,1,1,1,7.977822152694586,11.077822152694587,3.1000000000000014,1.0,7.977822152694586,11.077822152694587,3.1000000000000014,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,58,4
holding_q4,trades_q3,2,0,3,2,1.7853823433400595,4.868715676673394,3.0833333333333344,0.61328125,3.7430168158008006,6.693016815800802,2.950000000000002,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,173,12
holding_q1,trades_q4,0,0,111,86,-17.04074528753019,0.450245703460804,17.490990990990994,0.014252533783783784,-10.534309394986131,0.7656906050138683,11.3,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,37201,444
holding_q2,trades_q4,0,0,4,2,-10.163853785608215,-0.926353785608213,9.2375,0.0546875,-10.036950376832667,-0.8619503768326648,9.3,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,738,16
holding_q3,trades_q4,0,0,9,6,-14.818353509686252,1.0316464903137494,15.850000000000001,0.10590277777777778,-13.911276786754346,3.1088487423829942,10.950000000000001,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,True,2834,36
holding_zero,trades_zero,0,0,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,temporal_qd_v5_fast_ephemeral_operator_matrix_v38,False,0,452
